'CNPJ';'Outlet';'Cidade';'2017/09';'2017/10';'2017/11';'Total Geral'
2903000101;'DROG STA RITA DE CANDIDO';'CANDIDO MOTA';2;2;;4
5391000137;'DROGARIA FARMA CRUZ';'FRANCA';2;3;;5
6037000470;'HOSPITAL UNIMED TATUI-JOSE FCO.M.DE ALMEIDA - DR.';'TATUI';;1;;1
6290000180;'DROGARIA CAMPEA POPULAR';'SAO PAULO';3;2;;5
6290000199;'DROGARIA CAMPEA POPULAR';'SAO PAULO';3;3;;6
6486000175;'DROGARIA SAO FRANCISCO DE ASSIS';'ANICUNS';2;;;2
11976000160;'DROGARIA MAIS FORMOSA';'SAO PAULO';1;;;1
13246000106;'DROG SOUZA';'CAMPINAS';1;1;;2
17373000175;'DROG CALONI LTDA ME';'DRACENA';3;3;;6
19968000160;'DROGARIA NACIONAL';'BRASILIA';2;;;2
20717000103;'FCIA DESCONTAO';'ARACATUBA';2;2;;4
22548000132;'FARMASUL GEISEL';'BAURU';1;;;1
25528000115;'DROG JANINEFARMA LTDA';'QUIRINOPOLIS';;1;;1
28656000112;'DROG SAUDE II';'SAO JOSE DO RIO PRETO';39;32;2;73
28656000199;'DROG SAUDE II';'SAO JOSE DO RIO PRETO';17;29;;46
30181000107;'DROGARIA PRO VITA';'GUARULHOS';7;9;;16
30181000280;'DROGARIA PRO VITA';'GUARULHOS';14;11;;25
30181000360;'DROGARIA PRO VITA';'SAO PAULO';2;;;2
30181000603;'DROGARIA PRO VITA';'SAO PAULO';4;2;;6
30181000794;'DROGARIA PRO VITA';'GUARULHOS';4;9;;13
30181000875;'DROGARIA PRO VITA';'SAO PAULO';7;8;;15
30181000956;'DROGARIA PRO VITA LTDA';'SAO PAULO';7;16;;23
32532000100;'DROGARIA LUCIA LTDA';'ANAPOLIS';9;15;;24
37259000107;'DROG SAO MATEUS LTDA';'ANAPOLIS';1;;;1
49791000144;'HOSPITAL SANTA HELENA';'BRASILIA';3;;;3
53082000132;'FARMACIA DO JOAO BOSCO';'BELA VISTA DE GOIAS';1;2;;3
58542000115;'HIPERFARMA';'CURITIBA';;1;;1
58816000176;'DROG BETEL DE PIEDADE';'RIO DE JANEIRO';;;1;1
59344000176;'DROGARIA AVENIDA';'CACERES';1;;;1
60726000110;'RUY SUPLICY WIEDMER';'LAPA';7;7;1;15
61325000184;'DROGAFUJI';'BRASILIA';6;3;;9
61325000199;'DROGAFUJI';'BRASILIA';1;23;4;28
63960005402;'DROGARIA WAL MART';'SAO PAULO';7;1;;8
63960005593;'DROGARIA WAL MART';'VITORIA';1;;;1
63960005674;'DROGARIA WAL MART';'SOROCABA';5;4;3;12
63960005836;'DROGARIA WAL MART';'SAO PAULO';1;1;;2
63960013340;'DROGARIA WAL MART';'BARUERI';6;7;;13
63960013421;'DROGARIA WAL MART';'CARAPICUIBA';1;;;1
63960013936;'DROGARIA WAL MART';'LIMEIRA';3;;;3
63960014150;'DROGARIA WAL MART';'PIRACICABA';3;5;;8
63960014908;'DROGARIA WAL MART';'SAO PAULO';1;1;;2
63960015122;'DROGARIA WAL MART';'COTIA';1;8;1;10
63960015203;'DROGARIA WAL MART';'SAO PAULO';5;6;;11
63960015394;'DROGARIA WAL MART';'DIADEMA';8;5;;12
63960015475;'DROGARIA WAL MART';'SAO JOSE DO RIO PRETO';9;4;4;17
63960015637;'DROGARIA WAL MART';'ARARAS';2;7;;8
63960016447;'DROGARIA WAL MART';'MACAE';5;2;;7
63960016790;'DROGARIA WAL MART';'CAMPOS DOS GOYTACAZES';2;7;;9
63960017176;'DROGARIA WAL MART';'SAO PAULO';1;7;;8
